Country Name,Country Code,Year,Value
Late-demographic dividend,LTE,1992,-4364603
Late-demographic dividend,LTE,1997,-1602163
Late-demographic dividend,LTE,2002,-1316001
Late-demographic dividend,LTE,2007,1433173
Late-demographic dividend,LTE,2012,1549148
Latin America & Caribbean,LCN,1962,-1455707
Latin America & Caribbean,LCN,1967,-1954117
Latin America & Caribbean,LCN,1972,-2275443
Latin America & Caribbean,LCN,1977,-3233543
Latin America & Caribbean,LCN,1982,-3514057
Latin America & Caribbean,LCN,1987,-3797563
Latin America & Caribbean,LCN,1992,-3328369
Latin America & Caribbean,LCN,1997,-4886307
Latin America & Caribbean,LCN,2002,-5627335
Latin America & Caribbean,LCN,2007,-2497683
Latin America & Caribbean,LCN,2012,-1833113
Latin America & Caribbean (excluding high income),LAC,1962,-1250136
Latin America & Caribbean (excluding high income),LAC,1967,-1678734
Latin America & Caribbean (excluding high income),LAC,1972,-1999980
Latin America & Caribbean (excluding high income),LAC,1977,-3025439
Latin America & Caribbean (excluding high income),LAC,1982,-3309720
Latin America & Caribbean (excluding high income),LAC,1987,-3602645
Latin America & Caribbean (excluding high income),LAC,1992,-3286792
Latin America & Caribbean (excluding high income),LAC,1997,-4806680
Latin America & Caribbean (excluding high income),LAC,2002,-5411879
Latin America & Caribbean (excluding high income),LAC,2007,-2382696
Latin America & Caribbean (excluding high income),LAC,2012,-1790769
Latin America & the Caribbean (IDA & IBRD countries),TLA,1962,-1155769
Latin America & the Caribbean (IDA & IBRD countries),TLA,1967,-1566506
Latin America & the Caribbean (IDA & IBRD countries),TLA,1972,-2040736
Latin America & the Caribbean (IDA & IBRD countries),TLA,1977,-3036400
Latin America & the Caribbean (IDA & IBRD countries),TLA,1982,-3176351
Latin America & the Caribbean (IDA & IBRD countries),TLA,1987,-3636299
Latin America & the Caribbean (IDA & IBRD countries),TLA,1992,-3202492
Latin America & the Caribbean (IDA & IBRD countries),TLA,1997,-4704511
Latin America & the Caribbean (IDA & IBRD countries),TLA,2002,-5346329
Latin America & the Caribbean (IDA & IBRD countries),TLA,2007,-2205983
Latin America & the Caribbean (IDA & IBRD countries),TLA,2012,-1671733
Least developed countries: UN classification,LDC,1962,-887150
Least developed countries: UN classification,LDC,1967,-910978
Least developed countries: UN classification,LDC,1972,-4714401
Least developed countries: UN classification,LDC,1977,-4014041
Least developed countries: UN classification,LDC,1982,-5916591
Least developed countries: UN classification,LDC,1987,-3673528
Least developed countries: UN classification,LDC,1992,1156580
Least developed countries: UN classification,LDC,1997,-3923419
Least developed countries: UN classification,LDC,2002,-4028366
Least developed countries: UN classification,LDC,2007,-9450809
Least developed countries: UN classification,LDC,2012,-5849388
Low & middle income,LMY,1962,-4222938
Low & middle income,LMY,1967,-4478087
Low & middle income,LMY,1972,-7680618
Low & middle income,LMY,1977,-7586010
Low & middle income,LMY,1982,-6842809
Low & middle income,LMY,1987,-8918975
Low & middle income,LMY,1992,-11256549
Low & middle income,LMY,1997,-14522718
Low & middle income,LMY,2002,-18304295
Low & middle income,LMY,2007,-22369845
Low & middle income,LMY,2012,-15848395
Low income,LIC,1962,-516251
Low income,LIC,1967,-75494
Low income,LIC,1972,-1286637
Low income,LIC,1977,-2927670
Low income,LIC,1982,-5280878
Low income,LIC,1987,-3025130
Low income,LIC,1992,940425
Low income,LIC,1997,-2070082
Low income,LIC,2002,-822573
Low income,LIC,2007,-3023473
Low income,LIC,2012,-2148595
Lower middle income,LMC,1962,-151359
Lower middle income,LMC,1967,-1948640
Lower middle income,LMC,1972,-3128412
Lower middle income,LMC,1977,-2128060
Lower middle income,LMC,1982,-1251195
Lower middle income,LMC,1987,-3359977
Lower middle income,LMC,1992,-6072470
Lower middle income,LMC,1997,-9275915
Lower middle income,LMC,2002,-13249559
Lower middle income,LMC,2007,-16400405
Lower middle income,LMC,2012,-15611461
Middle East & North Africa,MEA,1962,-301401
Middle East & North Africa,MEA,1967,-723080
Middle East & North Africa,MEA,1972,-645140
Middle East & North Africa,MEA,1977,257733
Middle East & North Africa,MEA,1982,2789225
Middle East & North Africa,MEA,1987,1100609
Middle East & North Africa,MEA,1992,-1960076
Middle East & North Africa,MEA,1997,-257538
Middle East & North Africa,MEA,2002,744774
Middle East & North Africa,MEA,2007,5148017
Middle East & North Africa,MEA,2012,1023970
Middle East & North Africa (excluding high income),MNA,1962,-801519
Middle East & North Africa (excluding high income),MNA,1967,-1178377
Middle East & North Africa (excluding high income),MNA,1972,-1733108
Middle East & North Africa (excluding high income),MNA,1977,-1303996
Middle East & North Africa (excluding high income),MNA,1982,905809
Middle East & North Africa (excluding high income),MNA,1987,-158672
Middle East & North Africa (excluding high income),MNA,1992,-2123960
Middle East & North Africa (excluding high income),MNA,1997,-761016
Middle East & North Africa (excluding high income),MNA,2002,-1665598
Middle East & North Africa (excluding high income),MNA,2007,-1318048
Middle East & North Africa (excluding high income),MNA,2012,-3206474
Middle East & North Africa (IDA & IBRD countries),TMN,1962,-723877
Middle East & North Africa (IDA & IBRD countries),TMN,1967,-894743
Middle East & North Africa (IDA & IBRD countries),TMN,1972,-1700859
Middle East & North Africa (IDA & IBRD countries),TMN,1977,-1220296
Middle East & North Africa (IDA & IBRD countries),TMN,1982,967257
Middle East & North Africa (IDA & IBRD countries),TMN,1987,-119320
Middle East & North Africa (IDA & IBRD countries),TMN,1992,-2158961
Middle East & North Africa (IDA & IBRD countries),TMN,1997,-831017
Middle East & North Africa (IDA & IBRD countries),TMN,2002,-1475598
Middle East & North Africa (IDA & IBRD countries),TMN,2007,-1228047
Middle East & North Africa (IDA & IBRD countries),TMN,2012,-3162723
Middle income,MIC,1962,-3706687
Middle income,MIC,1967,-4402593
Middle income,MIC,1972,-6393981
Middle income,MIC,1977,-4658340
Middle income,MIC,1982,-1561931
Middle income,MIC,1987,-5893845
Middle income,MIC,1992,-12196974
Middle income,MIC,1997,-12452636
Middle income,MIC,2002,-17481722
Middle income,MIC,2007,-19346372
Middle income,MIC,2012,-13699800
North America,NAC,1962,2007340
North America,NAC,1967,2157993
North America,NAC,1972,3712023
North America,NAC,1977,4364838
North America,NAC,1982,3778389
North America,NAC,1987,4303753
North America,NAC,1992,5215572
North America,NAC,1997,9373685
North America,NAC,2002,6233240
North America,NAC,2007,6263594
North America,NAC,2012,5645721
OECD members,OED,1962,3295019
OECD members,OED,1967,2932482
OECD members,OED,1972,5810853
OECD members,OED,1977,4523135
OECD members,OED,1982,3185430
OECD members,OED,1987,5450587
OECD members,OED,1992,9906627
OECD members,OED,1997,11512321
OECD members,OED,2002,12483257
OECD members,OED,2007,15362672
OECD members,OED,2012,12632620
Other small states,OSS,1962,-85326
Other small states,OSS,1967,-36962
Other small states,OSS,1972,-34374
Other small states,OSS,1977,-88296
Other small states,OSS,1982,63878
Other small states,OSS,1987,162817
Other small states,OSS,1992,-308116
Other small states,OSS,1997,-133012
Other small states,OSS,2002,320214
Other small states,OSS,2007,1097149
Other small states,OSS,2012,743771
Pacific island small states,PSS,1962,2297
Pacific island small states,PSS,1967,-17349
Pacific island small states,PSS,1972,-39393
Pacific island small states,PSS,1977,-48858
Pacific island small states,PSS,1982,-48024
Pacific island small states,PSS,1987,-104291
Pacific island small states,PSS,1992,-68700
Pacific island small states,PSS,1997,-92620
Pacific island small states,PSS,2002,-105941
Pacific island small states,PSS,2007,-75792
Pacific island small states,PSS,2012,-71074
Post-demographic dividend,PST,1962,3830510
Post-demographic dividend,PST,1967,3926856
Post-demographic dividend,PST,1972,6913766
Post-demographic dividend,PST,1977,6254636
Post-demographic dividend,PST,1982,5307152
Post-demographic dividend,PST,1987,7704786
Post-demographic dividend,PST,1992,10269008
Post-demographic dividend,PST,1997,13303931
Post-demographic dividend,PST,2002,15405871
Post-demographic dividend,PST,2007,15844854
Post-demographic dividend,PST,2012,11408223
Pre-demographic dividend,PRE,1962,-170737
Pre-demographic dividend,PRE,1967,-29787
Pre-demographic dividend,PRE,1972,-836277
Pre-demographic dividend,PRE,1977,675480
Pre-demographic dividend,PRE,1982,-5234145
Pre-demographic dividend,PRE,1987,-3991527
Pre-demographic dividend,PRE,1992,2157419
Pre-demographic dividend,PRE,1997,-3022543
Pre-demographic dividend,PRE,2002,-552656
Pre-demographic dividend,PRE,2007,-3653097
Pre-demographic dividend,PRE,2012,-1589003
Small states,SST,1962,-344781
Small states,SST,1967,-353264
Small states,SST,1972,-355115
Small states,SST,1977,-408812
Small states,SST,1982,-256806
Small states,SST,1987,-284609
Small states,SST,1992,-600512
Small states,SST,1997,-433377
Small states,SST,2002,54465
Small states,SST,2007,879195
Small states,SST,2012,552480
South Asia,SAS,1962,-454109
South Asia,SAS,1967,-789458
South Asia,SAS,1972,-1131024
South Asia,SAS,1977,-580510
South Asia,SAS,1982,-2623284
South Asia,SAS,1987,-1873468
South Asia,SAS,1992,-296025
South Asia,SAS,1997,-3508471
South Asia,SAS,2002,-4439248
South Asia,SAS,2007,-10167795
South Asia,SAS,2012,-6663834
South Asia (IDA & IBRD),TSA,1962,-454109
South Asia (IDA & IBRD),TSA,1967,-789458
South Asia (IDA & IBRD),TSA,1972,-1131024
South Asia (IDA & IBRD),TSA,1977,-580510
South Asia (IDA & IBRD),TSA,1982,-2623284
South Asia (IDA & IBRD),TSA,1987,-1873468
South Asia (IDA & IBRD),TSA,1992,-296025
South Asia (IDA & IBRD),TSA,1997,-3508471
South Asia (IDA & IBRD),TSA,2002,-4439248
South Asia (IDA & IBRD),TSA,2007,-10167795
South Asia (IDA & IBRD),TSA,2012,-6663834
Sub-Saharan Africa,SSF,1962,-300541
Sub-Saharan Africa,SSF,1967,-280646
Sub-Saharan Africa,SSF,1972,-959547
Sub-Saharan Africa,SSF,1977,-844018
Sub-Saharan Africa,SSF,1982,-1154977
Sub-Saharan Africa,SSF,1987,-1171902
Sub-Saharan Africa,SSF,1992,583590
Sub-Saharan Africa,SSF,1997,-1473273
Sub-Saharan Africa,SSF,2002,-1080073
Sub-Saharan Africa,SSF,2007,-1983360
Sub-Saharan Africa,SSF,2012,-2046131
Sub-Saharan Africa (excluding high income),SSA,1962,-299690
Sub-Saharan Africa (excluding high income),SSA,1967,-279648
Sub-Saharan Africa (excluding high income),SSA,1972,-959777
Sub-Saharan Africa (excluding high income),SSA,1977,-843818
Sub-Saharan Africa (excluding high income),SSA,1982,-1151878
Sub-Saharan Africa (excluding high income),SSA,1987,-1166607
Sub-Saharan Africa (excluding high income),SSA,1992,582965
Sub-Saharan Africa (excluding high income),SSA,1997,-1473138
Sub-Saharan Africa (excluding high income),SSA,2002,-1082586
Sub-Saharan Africa (excluding high income),SSA,2007,-1980849
Sub-Saharan Africa (excluding high income),SSA,2012,-2043930
Sub-Saharan Africa (IDA & IBRD countries),TSS,1962,-300541
Sub-Saharan Africa (IDA & IBRD countries),TSS,1967,-280646
Sub-Saharan Africa (IDA & IBRD countries),TSS,1972,-959547
Sub-Saharan Africa (IDA & IBRD countries),TSS,1977,-844018
Sub-Saharan Africa (IDA & IBRD countries),TSS,1982,-1154977
Sub-Saharan Africa (IDA & IBRD countries),TSS,1987,-1171902
Sub-Saharan Africa (IDA & IBRD countries),TSS,1992,583590
Sub-Saharan Africa (IDA & IBRD countries),TSS,1997,-1473273
Sub-Saharan Africa (IDA & IBRD countries),TSS,2002,-1080073
Sub-Saharan Africa (IDA & IBRD countries),TSS,2007,-1983360
Sub-Saharan Africa (IDA & IBRD countries),TSS,2012,-2046131
Upper middle income,UMC,1962,-3555328
Upper middle income,UMC,1967,-2453953
Upper middle income,UMC,1972,-3265569
Upper middle income,UMC,1977,-2530280
Upper middle income,UMC,1982,-310736
Upper middle income,UMC,1987,-2533868
Upper middle income,UMC,1992,-6124504
Upper middle income,UMC,1997,-3176721
Upper middle income,UMC,2002,-4232163
Upper middle income,UMC,2007,-2945967
Upper middle income,UMC,2012,1911661
World,WLD,1962,0
World,WLD,1967,0
World,WLD,1972,0
World,WLD,1977,0
World,WLD,1982,0
World,WLD,1987,0
World,WLD,1992,0
World,WLD,1997,0
World,WLD,2002,0
World,WLD,2007,0
World,WLD,2012,0
Afghanistan,AFG,1962,-20000
Afghanistan,AFG,1967,-20000
Afghanistan,AFG,1972,-20000
Afghanistan,AFG,1977,-1092462
Afghanistan,AFG,1982,-3318301
Afghanistan,AFG,1987,-1484185
Afghanistan,AFG,1992,2327473
Afghanistan,AFG,1997,-379474
Afghanistan,AFG,2002,929118
Afghanistan,AFG,2007,-777497
Afghanistan,AFG,2012,448007
Albania,ALB,1962,-99
Albania,ALB,1967,-99
Albania,ALB,1972,-99
Albania,ALB,1977,-99
Albania,ALB,1982,-99
Albania,ALB,1987,-99
Albania,ALB,1992,-443212
Albania,ALB,1997,-179606
Albania,ALB,2002,-176774
Albania,ALB,2007,-217358
Albania,ALB,2012,-93425
Algeria,DZA,1962,-284266
Algeria,DZA,1967,-121335
Algeria,DZA,1972,-247822
Algeria,DZA,1977,-224833
Algeria,DZA,1982,-81020
Algeria,DZA,1987,-93302
Algeria,DZA,1992,-128679
Algeria,DZA,1997,-164413
Algeria,DZA,2002,-205228
Algeria,DZA,2007,-357340
Algeria,DZA,2012,-143268
Angola,AGO,1962,-135000
Angola,AGO,1967,-226155
Angola,AGO,1972,-80955
Angola,AGO,1977,11455
Angola,AGO,1982,234148
Angola,AGO,1987,-151982
Angola,AGO,1992,142811
Angola,AGO,1997,-126955
Angola,AGO,2002,172594
Angola,AGO,2007,85286
Angola,AGO,2012,87322
Antigua and Barbuda,ATG,1962,-1703
Antigua and Barbuda,ATG,1967,-1625
Antigua and Barbuda,ATG,1972,-2874
Antigua and Barbuda,ATG,1977,-3492
Antigua and Barbuda,ATG,1982,-8840
Antigua and Barbuda,ATG,1987,-7629
Antigua and Barbuda,ATG,1992,2617
Antigua and Barbuda,ATG,1997,4421
Antigua and Barbuda,ATG,2002,-282
Antigua and Barbuda,ATG,2007,-92
Antigua and Barbuda,ATG,2012,-56
Argentina,ARG,1962,122001
Argentina,ARG,1967,130001
Argentina,ARG,1972,290000
Argentina,ARG,1977,-230001
Argentina,ARG,1982,139999
Argentina,ARG,1987,160002
Argentina,ARG,1992,29999
Argentina,ARG,1997,-80000
Argentina,ARG,2002,-90000
Argentina,ARG,2007,-84998
Argentina,ARG,2012,30000
Armenia,ARM,1962,70335
Armenia,ARM,1967,103399
Armenia,ARM,1972,86404
Armenia,ARM,1977,17214
Armenia,ARM,1982,-51230
Armenia,ARM,1987,-67528
Armenia,ARM,1992,-496288
Armenia,ARM,1997,-223873
Armenia,ARM,2002,-160521
Armenia,ARM,2007,-183361
Armenia,ARM,2012,-30535
Aruba,ABW,1962,-4323
Aruba,ABW,1967,-4275
Aruba,ABW,1972,-3537
Aruba,ABW,1977,-5470
Aruba,ABW,1982,-1921
Aruba,ABW,1987,-5194
Aruba,ABW,1992,14218
Aruba,ABW,1997,6926
Aruba,ABW,2002,6263
Aruba,ABW,2007,-441
Aruba,ABW,2012,1253
Australia,AUS,1962,382989
Australia,AUS,1967,802781
Australia,AUS,1972,264129
Australia,AUS,1977,235744
Australia,AUS,1982,456227
Australia,AUS,1987,666233
Australia,AUS,1992,351078
Australia,AUS,1997,377552
Australia,AUS,2002,575104
Australia,AUS,2007,1122688
Australia,AUS,2012,913107
Austria,AUT,1962,15996
Austria,AUT,1967,50401
Austria,AUT,1972,82001
Austria,AUT,1977,5502
Austria,AUT,1982,18002
Austria,AUT,1987,110999
Austria,AUT,1992,227841
Austria,AUT,1997,65082
Austria,AUT,2002,178117
Austria,AUT,2007,153763
Austria,AUT,2012,267172
Azerbaijan,AZE,1962,0
Azerbaijan,AZE,1967,-40000
Azerbaijan,AZE,1972,-50466
Azerbaijan,AZE,1977,-50466
Azerbaijan,AZE,1982,-101568
Azerbaijan,AZE,1987,-161568
Azerbaijan,AZE,1992,-115116
Azerbaijan,AZE,1997,-111849
Azerbaijan,AZE,2002,36524
Azerbaijan,AZE,2007,53580
Azerbaijan,AZE,2012,0
"Bahamas, The",BHS,1962,14357
"Bahamas, The",BHS,1967,14080
"Bahamas, The",BHS,1972,887
"Bahamas, The",BHS,1977,2791
"Bahamas, The",BHS,1982,180
"Bahamas, The",BHS,1987,-1099
"Bahamas, The",BHS,1992,-395
"Bahamas, The",BHS,1997,-3097
"Bahamas, The",BHS,2002,15483
"Bahamas, The",BHS,2007,14363
"Bahamas, The",BHS,2012,9672
Bahrain,BHR,1962,-4195
Bahrain,BHR,1967,-8033
Bahrain,BHR,1972,19123
Bahrain,BHR,1977,48962
Bahrain,BHR,1982,3234
Bahrain,BHR,1987,12899
Bahrain,BHR,1992,5480
Bahrain,BHR,1997,39180
Bahrain,BHR,2002,155500
Bahrain,BHR,2007,272000
Bahrain,BHR,2012,42000
Bangladesh,BGD,1962,-142378
Bangladesh,BGD,1967,-161822
Bangladesh,BGD,1972,-2977854
Bangladesh,BGD,1977,-1076732
Bangladesh,BGD,1982,-787467
Bangladesh,BGD,1987,-219363
Bangladesh,BGD,1992,-798161
Bangladesh,BGD,1997,-756121
Bangladesh,BGD,2002,-1541457
Bangladesh,BGD,2007,-3570954
Bangladesh,BGD,2012,-2526483
Barbados,BRB,1962,-15903
Barbados,BRB,1967,-11880
Barbados,BRB,1972,-5433
Barbados,BRB,1977,-3595
Barbados,BRB,1982,-5589
Barbados,BRB,1987,-4077
Barbados,BRB,1992,-3263
Barbados,BRB,1997,-1323
Barbados,BRB,2002,-77
Barbados,BRB,2007,2050
Barbados,BRB,2012,2180
Belarus,BLR,1962,-125387
Belarus,BLR,1967,65585
Belarus,BLR,1972,37146
Belarus,BLR,1977,38298
Belarus,BLR,1982,47114
Belarus,BLR,1987,-23021
Belarus,BLR,1992,-63057
Belarus,BLR,1997,56146
Belarus,BLR,2002,-6382
Belarus,BLR,2007,63933
Belarus,BLR,2012,75799
Belgium,BEL,1962,38304
Belgium,BEL,1967,47288
Belgium,BEL,1972,70980
Belgium,BEL,1977,73523
Belgium,BEL,1982,18478
Belgium,BEL,1987,42556
Belgium,BEL,1992,106947
Belgium,BEL,1997,50870
Belgium,BEL,2002,219560
Belgium,BEL,2007,294270
